sample	PC1	PC2	ancestry
CPCT02040329	-2.43428221625311	0.380362665913254	hartwig
CPCT02040331	-3.80606916648214	1.7018089764439	hartwig
CPCT02040337	-3.75064188665208	0.708759783877634	hartwig
CPCT02050028	-3.57540386981955	0.379535268191387	hartwig
CPCT02050032	-2.72143896225556	-0.166555949580101	hartwig
CPCT02050053	-2.15575790017666	1.09296620306479	hartwig
CPCT02050060	4.14643276172063	2.08933439259079	hartwig
CPCT02050071	-3.39316157050789	0.922440792593859	hartwig
CPCT02050074	-1.43612324672761	1.43050419846227	hartwig
CPCT02050082	7.47139336812507	-0.545985923335325	hartwig
CPCT02050088	-4.03018724872546	-0.17410167446832	hartwig
CPCT02050096	-3.2076515785652	0.597818561258374	hartwig
CPCT02050109	-3.38816940559516	0.167559237734175	hartwig
CPCT02050117	-3.06428038221688	0.782280332122169	hartwig
CPCT02050120	-3.28309922589309	0.0440303770816867	hartwig
CPCT02050127	-3.1744397907428	0.390259967006892	hartwig
CPCT02050138	-2.27772745888189	-0.899057166867103	hartwig
CPCT02050143	-2.26469346791877	1.54630331897885	hartwig
CPCT02050146	-3.9755873943715	0.135595456870399	hartwig
CPCT02050156	-2.70387779118168	1.27631391683765	hartwig
CPCT02050157	-3.59944524489109	0.469237898683946	hartwig
CPCT02050160	-3.01852637385962	0.55636769892758	hartwig
CPCT02050164	-3.83704100992652	0.221883170335078	hartwig
CPCT02050166	-3.3366384483955	0.442337649361206	hartwig
CPCT02050183	-4.6058453063326	0.62571291170286	hartwig
CPCT02050209	-2.38159471462027	0.44947055641015	hartwig
CPCT02050210	-3.89218714889859	0.173266503200304	hartwig
CPCT02050215	2.9383480612246	-7.7554313680331	hartwig
CPCT02050218	-3.16732216619908	0.975133402217318	hartwig
CPCT02050285	-3.67765772964016	1.1481510729596	hartwig
CPCT02050288	-3.05950044213556	1.30385639940894	hartwig
CPCT02050299	-4.27265969034391	-0.175871421975883	hartwig
CPCT02050309	-3.8484081796608	0.437217154260286	hartwig
CPCT02050333	-2.5595168272305	1.08358567383637	hartwig
CPCT02050337	-3.11759826367388	-0.389366152104241	hartwig
CPCT02050338	-2.07722455870479	-0.470547992526226	hartwig
CPCT02050359	-3.11819587385764	1.05037769481431	hartwig
CPCT02050364	-2.55087026944523	0.101064149914953	hartwig
CPCT02050383	-4.26636471837841	-0.271526330859469	hartwig
CPCT02050409	2.11801477612987	0.406082737641006	hartwig
CPCT02050431	-0.349319671057884	0.841127461975253	hartwig
CPCT02050434	-2.5611976381206	0.433658622833881	hartwig
CPCT02060011	-4.15826104682892	1.04316241145369	hartwig
CPCT02060059	-3.16812520024367	0.905812221273775	hartwig
CPCT02060070	6.24161999740183	2.06095552886106	hartwig
CPCT02060075	-3.5387010500545	0.803644565878525	hartwig
CPCT02060093	-3.29234061432222	0.381097199783363	hartwig
CPCT02060121	-3.30002905477417	0.318124035980324	hartwig
CPCT02060128	-3.15323061265109	1.58218826888948	hartwig
CPCT02060129	-3.53747764556696	1.72124063076162	hartwig
CPCT02060150	-3.29672079020767	0.684940834847604	hartwig
CPCT02060179	-3.67515370925403	0.353951438468748	hartwig
CPCT02060197	-3.96857877102174	0.58752590367588	hartwig
CPCT02060214	-3.98640414522451	0.729909428639427	hartwig
CPCT02060221	-3.33665476009341	0.43921353193843	hartwig
CPCT02060272	-3.53964652821782	0.331581955883145	hartwig
CPCT02060277	-3.57610124347388	0.452014223481243	hartwig
CPCT02060278	-4.26173584508098	-0.0144489486723248	hartwig
CPCT02060279	-3.06444321987248	0.0150180226530806	hartwig
CPCT02060285	-2.82847800752869	0.888298927449657	hartwig
CPCT02060289	-3.53308421823128	0.279817894415135	hartwig
CPCT02070078	-3.88739420599456	0.311486471132052	hartwig
CPCT02070168	-3.00078944698845	0.996761394107091	hartwig
CPCT02070344	-3.45711334201016	0.0720404547317049	hartwig
CPCT02070352	-2.59883415671563	0.719999609004995	hartwig
CPCT02070360	-4.20209220722537	0.736819770995117	hartwig
CPCT02070424	-3.9447605497528	0.156506104031744	hartwig
CPCT02080001	-3.04906335487103	1.2927157925496	hartwig
CPCT02080002	6.05363192165102	2.12009818140485	hartwig
CPCT02080005	-2.2823439001433	0.372685514590182	hartwig
CPCT02080006	-4.22526761524058	0.358062289931744	hartwig
CPCT02080014	-3.784132268323	0.59448298329322	hartwig
CPCT02080016	-3.73696190079761	0.808751127164989	hartwig
CPCT02080019	-3.44031333946049	0.975778577788758	hartwig
CPCT02080022	-3.19483628459705	0.47523928031622	hartwig
CPCT02080025	-3.54696733471957	0.997626901188901	hartwig
CPCT02080027	-3.35591446332963	1.75761643103592	hartwig
