sample	PC1	PC2	ancestry
CURTIS_H000517_N01_01_WG01	0.38853732250612	-4.60377144387046	ICGC
CURTIS_H000518_N01_01_WG01	-2.75636017248589	0.331847601748698	ICGC
CURTIS_H000519_N01_01_WG01	-2.86944849943472	0.262245921300995	ICGC
CURTIS_H000520_N01_01_WG01	-3.53612700480652	0.370009369693733	ICGC
CURTIS_H000521_N01_01_WG01	-2.47146072641703	0.788976996046057	ICGC
CURTIS_H000522_N01_01_WG01	0.89257116931248	-4.67281359059699	ICGC
CURTIS_H000523_N01_01_WG01	5.44504780220966	2.17896047109464	ICGC
CURTIS_H000524_N01_01_WG01	-2.50614651326188	0.31735999291767	ICGC
CURTIS_H000525_N01_01_WG01	-3.00174967916756	0.708284564562317	ICGC
CURTIS_H000526_N01_01_WG01	-3.19802247694574	0.632520311330951	ICGC
CURTIS_H000527_N01_01_WG01	-1.67705415405966	-0.216984318397041	ICGC
CURTIS_H000528_N01_01_WG01	-0.604978177169776	-0.222155850636709	ICGC
CURTIS_H000529_N01_01_WG01	2.02538777630143	-4.677775213484	ICGC
CURTIS_H000530_N01_01_WG01	-2.54683428659083	0.894688458978052	ICGC
CURTIS_H000531_N01_01_WG01	1.39405020565416	-3.49597520615101	ICGC
CURTIS_H000532_N01_01_WG01	5.96457351783205	0.747912792280471	ICGC
CURTIS_H000533_N01_01_WG01	1.30956018094994	-4.31380192910052	ICGC
CURTIS_H000534_N01_01_WG01	0.541325305561951	-4.66896533256763	ICGC
CURTIS_H000535_N01_01_WG01	-2.91260808555428	-0.48635793196859	ICGC
CURTIS_H000536_N01_01_WG01	1.36838272656876	-5.08931749422546	ICGC
CURTIS_H000537_N01_01_WG01	-2.01035949005863	0.852426969706592	ICGC
CURTIS_H000538_N01_01_WG01	-3.71812950617018	0.315516013863947	ICGC
CURTIS_H000539_N01_01_WG01	0.0505130468391097	-4.04132489767658	ICGC
CURTIS_H000540_N01_01_WG01	-3.48406788394009	0.761265097062996	ICGC
CURTIS_H000541_N01_01_WG01	-3.20346012409131	1.13137238088645	ICGC
CURTIS_H000542_N01_01_WG01	-3.50387836276254	0.209184014209786	ICGC
CURTIS_H000543_N01_01_WG01	1.27022977629855	-4.74917328462488	ICGC
CURTIS_H000544_N01_01_WG01	0.0641651664207475	-3.01756751791776	ICGC
CURTIS_H000545_N01_01_WG01	1.88453500488231	-4.36764902035354	ICGC
CURTIS_H000546_N01_01_WG01	1.31608405954469	-4.42261668432606	ICGC
CURTIS_H000547_N01_01_WG01	-2.82208842214784	1.1818449148632	ICGC
CURTIS_H000548_N01_01_WG01	-2.63129163573234	0.44709954928345	ICGC
CURTIS_H000549_N01_01_WG01	1.67715763137087	-4.61393991801077	ICGC
CURTIS_H000550_N01_01_WG01	1.0496074279264	-3.61537715808058	ICGC
CURTIS_H000551_N01_01_WG01	1.1764125769687	-4.46700713193888	ICGC
CURTIS_H000552_N01_01_WG01	0.0193373346908393	-2.58444927632569	ICGC
CURTIS_H000553_N01_01_WG01	-3.50390874942842	-0.106521215853906	ICGC
CURTIS_H000554_N01_01_WG01	-3.12144423681939	0.452195656910467	ICGC
CURTIS_H000555_N01_01_WG01	0.868120532553715	-4.22482569274882	ICGC
CURTIS_H000556_N01_01_WG01	-2.88980898597822	0.632964604166846	ICGC
CURTIS_H000557_N01_01_WG01	-3.212592770751	0.488845825973446	ICGC
CURTIS_H000558_N01_01_WG01	-3.25406983984788	1.52776745747316	ICGC
CURTIS_H000559_N01_01_WG01	-1.66600411942574	0.614752301903868	ICGC
CURTIS_H000560_N01_01_WG01	-2.43762804437834	0.331469318356925	ICGC
CURTIS_H000561_N01_01_WG01	-3.55535446631849	0.269845587703467	ICGC
CURTIS_H000562_N01_01_WG01	5.40017666844842	1.15975285669987	ICGC
CURTIS_H000563_N01_01_WG01	-2.68455918798067	0.881737432238187	ICGC
CURTIS_H000564_N01_01_WG01	-3.33445497469911	-0.354670729034224	ICGC
CURTIS_H000565_N01_01_WG01	-2.15375060432004	0.420961431328367	ICGC
CURTIS_H000566_N01_01_WG01	-2.44257893700745	0.497553758283067	ICGC
CURTIS_H000567_N01_01_WG01	-3.26328653890708	1.02066196605282	ICGC
CURTIS_H000568_N01_01_WG01	-3.35101508530586	0.838778105065515	ICGC
CURTIS_H000569_N01_01_WG01	-3.54146511946287	0.353199691590168	ICGC
CURTIS_H000570_N01_01_WG01	-3.00212366748892	-0.309710616683756	ICGC
CURTIS_H000571_N01_01_WG01	-2.82747290479579	1.50679814819463	ICGC
CURTIS_H000572_N01_01_WG01	-2.79911186844482	0.781494381901797	ICGC
CURTIS_H000573_N01_01_WG01	-2.83031534447528	0.210963698626971	ICGC
CURTIS_H000574_N01_01_WG01	-0.575550443631098	0.429445713574071	ICGC
CURTIS_H000575_N01_01_WG01	-2.69412217868552	1.19346737207086	ICGC
CURTIS_H000576_N01_01_WG01	-3.72481131822502	0.790701060422559	ICGC
CURTIS_H000577_N01_01_WG01	5.0782696651442	1.88459626743762	ICGC
CURTIS_H000578_N01_01_WG01	-0.515297530582289	0.175836482096538	ICGC
CURTIS_H000579_N01_01_WG01	-2.49250710301612	0.243458784423556	ICGC
CURTIS_H000580_N01_01_WG01	-3.23318843473551	0.661919895414804	ICGC
CURTIS_H000581_N01_01_WG01	-2.82975101446465	0.875133242487578	ICGC
CURTIS_H000582_N01_01_WG01	-2.36317969547031	0.561341650224464	ICGC
CURTIS_H000583_N01_01_WG01	0.400655520244157	-0.701535439087763	ICGC
CURTIS_H000584_N01_01_WG01	-3.03532662212833	1.10991179061247	ICGC
CURTIS_H000585_N01_01_WG01	-0.462412633636539	-2.38406127314513	ICGC
CURTIS_H000586_N01_01_WG01	-2.8569013375078	0.419979349048177	ICGC
CURTIS_H000587_N01_01_WG01	-0.173909965795482	-0.696034632968603	ICGC
CURTIS_H000588_N01_01_WG01	1.20531844117132	-4.70474689162327	ICGC
CURTIS_H000589_N01_01_WG01	-3.24538278369435	0.94920000106833	ICGC
CURTIS_H000590_N01_01_WG01	1.33330822188199	-4.33289970417331	ICGC
CURTIS_H000591_N01_01_WG01	-2.94571298361199	0.520974854789067	ICGC
CURTIS_H000592_N01_01_WG01	-2.56673094002506	0.963871693057694	ICGC
CURTIS_H000593_N01_01_WG01	0.806629656788747	-4.61850956469695	ICGC
CURTIS_H001390_N01_01_WG01	-3.29240893193117	0.845529428845071	ICGC
CURTIS_H001391_N01_01_WG01	-2.78926911352142	0.621949130406767	ICGC
CURTIS_H001392_N01_01_WG01	-2.83862061018268	0.367432496180329	ICGC
CURTIS_H001393_N01_01_WG01	-3.64782845536658	0.960419891602454	ICGC
CURTIS_H001394_N01_01_WG01	-2.88570387684214	0.749974673570357	ICGC
CURTIS_H001395_N01_01_WG01	-3.16220706945015	0.616759922284743	ICGC
CURTIS_H001396_N01_01_WG01	-2.98909115347316	0.556382057258016	ICGC
CURTIS_H001397_N01_01_WG01	-3.68864575762687	0.102286908596081	ICGC
CURTIS_H001398_N01_01_WG01	-2.97884081587625	0.455347696461586	ICGC
CURTIS_H001399_N01_01_WG01	-2.58722986018225	1.29971105514813	ICGC
CURTIS_H001400_N01_01_WG01	-3.07270955435753	0.992909928947376	ICGC
CURTIS_H001401_N01_01_WG01	-1.84531016772366	-0.323423491516596	ICGC
CURTIS_H001402_N01_01_WG01	-2.00010672713699	0.365157294579803	ICGC
CURTIS_H001403_N01_01_WG01	-4.11089517984138	0.589239188064629	ICGC
CURTIS_H001404_N01_01_WG01	-2.9341296158265	0.83832695870949	ICGC
CURTIS_H001405_N01_01_WG01	-2.8889153538661	0.549650151807858	ICGC
CURTIS_H001406_N01_01_WG01	-2.06222927758182	0.286884257889168	ICGC
CURTIS_H001407_N01_01_WG01	-2.8770943389013	1.06010984800037	ICGC
CURTIS_H001408_N01_01_WG01	-3.00526334164111	1.04788821106746	ICGC
CURTIS_H001409_N01_01_WG01	-2.49493032774179	0.394160841529573	ICGC
CURTIS_H001410_N01_01_WG01	0.59027800869934	-2.76627070043328	ICGC
CURTIS_H001411_N01_01_WG01	-3.40160715741309	0.483493218974591	ICGC
CURTIS_H001412_N01_01_WG01	-3.63199418878303	0.762331133672741	ICGC
CURTIS_H001413_N01_01_WG01	-2.29541851324662	0.995652846246287	ICGC
CURTIS_H001414_N01_01_WG01	-4.73077824738287	0.310527671504545	ICGC
CURTIS_H001415_N01_01_WG01	-2.59419395518211	1.35417278208235	ICGC
CURTIS_H001416_N01_01_WG01	-2.9658756435512	0.625481619141612	ICGC
CURTIS_H001417_N01_01_WG01	-4.10519908052291	0.862629878599344	ICGC
CURTIS_H001418_N01_01_WG01	-3.1982627934156	0.674896106173393	ICGC
CURTIS_H001419_N01_01_WG01	-3.08253769910998	0.755479695639794	ICGC
CURTIS_H001420_N01_01_WG01	-3.23066387454403	0.579423721878857	ICGC
CURTIS_H001421_N01_01_WG01	-3.90857381568693	0.913260848389441	ICGC
CURTIS_H001422_N01_01_WG01	-1.97380837881192	1.12790598986095	ICGC
CURTIS_H001423_N01_01_WG01	-2.68536796882442	-0.139887605658934	ICGC
CURTIS_H001424_N01_01_WG01	-3.33720097510068	0.536870454156023	ICGC
CURTIS_H001425_N01_01_WG01	-3.20264901347909	0.662714451029813	ICGC
CURTIS_H001426_N01_01_WG01	-2.3150634026953	0.33846399060216	ICGC
CURTIS_H001427_N01_01_WG01	-2.7064462797828	1.46972491974988	ICGC
CURTIS_H001428_N01_01_WG01	-3.7304142546704	0.884087561399447	ICGC
CURTIS_H001429_N01_01_WG01	-2.35525410289572	-0.331750673028961	ICGC
CURTIS_H001430_N01_01_WG01	-3.24822505098171	0.906887864871194	ICGC
CURTIS_H001431_N01_01_WG01	-2.56567797743707	-0.353409700058602	ICGC
CURTIS_H001432_N01_01_WG01	-3.21227035223277	0.65784017753879	ICGC
